model,sentence_id,input,output,ttft_s,total_s,memory,rule_violation,교정성공,의도보존,정돈품질,비고
qwen3.5:4b,s17,npm run dev하고 error log 보여줘,dev 서버를 실행한 후 오류 로그를 확인하여 AI 코딩 에이전트에게 전달해달라.,0.677,1.106,4.3 GB,,O,X,,error log→오류 로그 교정 / 'npm run dev' 소실 + 'AI 코딩 에이전트에게 전달' 프롬프트 누출
qwen3.5:4b,s18,pytest로 유닛 테스트 돌리고 실패한 것만 정리해줘,"유닛 테스트를 pytest 로 실행하고, 실패한 테스트 코드를 정리하여 제공하세요.",0.677,1.073,4.3 GB,,해당없음,O,,'실패한 것만'의 '만' 뉘앙스 약화(경미)
qwen3.5:4b,s19,"main branch에 rebase하고, force push 해줘",Rebase main branch and perform a force push.,0.670,0.844,4.3 GB,,해당없음,O,,전문 영어 번역(규칙5 위반) — 내용은 보존
qwen3.5:4b,s20,environment variable에서 API key 읽어오기 바꿔줘,API 키를 environment 변수에서 읽도록 변경하세요.,0.674,0.866,4.3 GB,,O,O,,"읽어오기→읽도록 교정, environment variable 용어 분해(경미)"
qwen3.5:4b,s21,커밋해줘,Please commit the code.,0.676,0.762,4.3 GB,,해당없음,O,,"전문 영어 번역(규칙5 위반), 'the code' 사족"
qwen3.5:4b,s22,테스트 돌려,Run the test code.,0.674,0.763,4.3 GB,,해당없음,O,,전문 영어 번역(규칙5 위반)
qwen3.5:4b,s23,Build 다시 해봐,Please rebuild.,0.679,0.731,4.3 GB,,X,O,,"전문 영어 번역(규칙5 위반), 빌드 미복원"
qwen3.5:4b,s24,린트 에러 고쳐줘,Please fix the lint errors.,0.669,0.773,4.3 GB,,해당없음,O,,전문 영어 번역(규칙5 위반)
qwen3.5:4b,s25,로그인 session이 완료됐을 때 Redirect라는 기능을 수정해줘 그리고 완료되면 테스트 코드도 작성해줘,"로그인 세션이 완료될 경우 리디렉션 기능을 수정하고, 해당 기능에 대한 파이테스트를 작성하세요.",0.685,1.133,4.3 GB,,X,X,2/3·자연3,"만료→'완료' 잔존, '파이테스트' 날조; 리다이렉트·테스트 유지"
qwen3.5:4b,s26,지금 검색기는 느린데 디바운싱 추가하고 디바운싱 추가해서 API 호출 줄여줘,"검색기가 느리므로, 요청을 처리하기 위해 딜레이를 적용한 뒤 API 를 호출하도록 구현해 주세요.",0.675,1.108,4.3 GB,,X,X,1/3·자연2,"디바운스→'딜레이' 왜곡, '호출 줄이기'→'호출하도록' 의미 반전"
qwen3.5:4b,s27,결제 모듈에서 에러 핸들링 로직을 리페트링하고 실패했을 때 재시도를 3번 할 수 있도록 기능 추가해줘,"결제 모듈의 에러 핸들링 로직을 리팩토링하여, 실패 시 최대 3 회까지 재시도 기능을 구현해주세요.",0.678,1.247,4.3 GB,,O,O,2/2·자연4,"리페트링→리팩토링 교정, 재시도 3회 유지"
qwen3.5:4b,s28,다크모드 토글이 새로고침했을 때 풀리는 버그가 있어 다크모드와 같은 컬러모드는 localStorage에 저장하도록 기능을 추가해줘,"Dark 모드 토글 시 페이지 리로드 후 초기화되는 버그를 수정하고, 다른 테마 색상도 localStorage 에 저장되도록 구현 요청합니다.",0.710,1.249,4.3 GB,,해당없음,O,2/2·자연4,'다른 테마 색상도' 표현 변형(허용 범위로 판단)
qwen3.5:4b,s29,PR 올리기 전에는 콘솔로 지워주고 커밋 메시지를 잘 정리해서 작성해줘,"커밋 메시지 작성을 위해 PR 제출 전에 콘솔 로그를 초기화하고, 기술 용어와 문장을 정돈하여 요청합니다.",0.676,1.198,4.3 GB,,O,X,2/3·자연2,콘솔로→콘솔 로그 교정 / '기술 용어와 문장을 정돈' 프롬프트 누출
qwen3.5:4b,s30,모바일 환경에서 깨지는 컴포넌트들 다 찾고 반응형 디자인에 대응할 수 있도록 수정해줘,"모바일 환경에서 발생하는 모든 컴포넌트 오류를 식별하고, 이를 반영하여 반응형 디자인을 구현하도록 수정하시오.",0.677,1.196,4.3 GB,,해당없음,O,2/2·자연3,
qwen3.5:9b,s01,이 컴포넌트 useState 말고 useReducer으로 리팩토링 해줘,컴포넌트를 useState 대신 useReducer 로 리팩토링해 줘.,1.101,1.588,6.8 GB,,해당없음,O,,
qwen3.5:9b,s02,useEffect의 cleanup 함수 리턴하는 거 빠졌으니까 추가해줘,useEffect 의 cleanup 함수를 반환하도록 수정하여 추가해 줘.,1.086,1.493,6.8 GB,,해당없음,O,,'수정하여 추가' 중복 표현(경미)
qwen3.5:9b,s03,async await로 바꾸고 try catch로 에러 핸들링 해줘,"async/await 을 사용하도록 변경하고, try/catch 를 활용한 오류 처리를 추가해 주세요.",1.089,1.655,6.8 GB,,해당없음,O,,"async/await 소문자 유지, 에러 핸들링→오류 처리(경미)"
qwen3.5:9b,s04,이 함수 TypeScript Generic으로 Type 잡아줘,TypeScript generic 을 사용하여 해당 함수의 타입을 정의하세요.,1.080,1.428,6.8 GB,,O,O,,Generic·Type→generic·타입 정리
qwen3.5:9b,s05,React Query로 캐싱하게 바꾸고 staleTime 5분으로 설정해줘,"React Query 로 캐싱을 적용하고, staleTime 을 5 분 (300 초) 으로 설정하세요.",1.079,1.747,6.8 GB,,해당없음,X,,'(300 초)' 임의 추가(경미)
qwen3.5:9b,s06,git rebase로 커밋 세개를 하나로 squash해줘,git rebase 를 사용하여 3 개의 커밋을 하나의 커밋으로 squash 하세요.,1.097,1.659,6.8 GB,,해당없음,O,,
qwen3.5:9b,s07,Dockerfile에서 멀티 스테이지 빌드로 이미지 사이즈 줄여줘,Dockerfile 에서 멀티 스테이지 빌드를 사용하여 이미지의 크기를 줄여주세요.,1.082,1.619,6.8 GB,,해당없음,O,,
qwen3.5:9b,s08,이 API 엔드포인트에 rate limiting mid layer 붙여줘,API 엔드포인트에 rate limiting middleware 를 추가해 주세요.,1.083,1.432,6.8 GB,,O,O,,mid layer→middleware 교정(미들웨어 아닌 영문 표기)
qwen3.5:9b,s09,Tailwind로 다크모드 대응하는 클래스 추가해줘,Tailwind 로 다크 모드 대응을 위한 클래스를 추가해 줘.,1.083,1.543,6.8 GB,,해당없음,O,,
qwen3.5:9b,s10,cmux에서 새 pane 열어서 테스트 워처 돌려줘,새로운 페인 (pane) 을 열어 cmux 에서 테스트 워치를 실행해 줘.,1.090,1.683,6.8 GB,,해당없음,O,,"용어 훼손: 워처→'워치', pane→'페인 (pane)' 재한글화"
qwen3.5:9b,s11,방금 수정한 부분 다시 원래대로 되돌려줘,방금 수정한 부분을 원래 상태로 되돌려주세요.,1.082,1.411,6.8 GB,,해당없음,O,,
qwen3.5:9b,s12,이 파일에서 중복되는 로직 찾아서 함수로 뽑아줘,주어진 파일의 중복된 로직을 식별하여 별도의 함수로 추출해 주세요.,1.084,1.591,6.8 GB,,해당없음,O,,
qwen3.5:9b,s13,변수 이름들 좀 더 명확하게 바꿔줘,명확한 변수 이름을 사용하도록 수정하라.,1.082,1.351,6.8 GB,,해당없음,O,,
qwen3.5:9b,s14,주석 달아줘 근데 너무 길게는 말고,"주석을 추가하되, 지나치게 길지 않게 작성해 주세요.",1.085,1.486,6.8 GB,,해당없음,O,,
qwen3.5:9b,s15,이거 왜 안되는지 원인부터 찾아줘,원인 분석을 위해 실행되지 않는 문제를 확인해 주세요.,1.080,1.482,6.8 GB,,해당없음,X,,'원인 분석을 위해 실행되지 않는 문제를 확인' — 논리 반전(보수적 X)
qwen3.5:9b,s16,성능 문제 있는 부분 프로파일링해서 알려줘,성능 문제가 의심되는 부분을 프로파일링하여 결과를 알려주세요.,1.083,1.456,6.8 GB,,해당없음,O,,
qwen3.5:9b,s17,npm run dev하고 error log 보여줘,`npm run dev` 실행 후 에러 로그를 확인해 주세요.,1.082,1.538,6.8 GB,,O,X,,"error log→에러 로그 교정 / '보여줘' 누락(확인으로 대체, 보수적 X), 백틱(경미)"
qwen3.5:9b,s18,pytest로 유닛 테스트 돌리고 실패한 것만 정리해줘,pytest 로 유닛 테스트를 실행하여 실패한 항목을 정리해 줘.,1.086,1.648,6.8 GB,,해당없음,O,,
qwen3.5:9b,s19,"main branch에 rebase하고, force push 해줘",main branch 에 rebase 한 후 force push 하세요.,1.092,1.416,6.8 GB,,해당없음,O,,한국어 문장 구조 유지
qwen3.5:9b,s20,environment variable에서 API key 읽어오기 바꿔줘,환경 변수 (Environment Variable) 에서 API 키를 읽도록 변경해 주세요.,1.095,1.523,6.8 GB,,O,O,,"읽어오기→읽도록 교정 / environment variable→'환경 변수' 한국어화+주석(규칙5 역방향, 경미)"
qwen3.5:9b,s21,커밋해줘,commit message 작성 요청,1.094,1.203,6.8 GB,,해당없음,X,,'커밋해줘'→'commit message 작성 요청' — 커밋 실행을 메시지 작성으로 왜곡
qwen3.5:9b,s22,테스트 돌려,pytest 실행,1.026,1.133,6.8 GB,,해당없음,X,,'테스트 돌려'→'pytest 실행' — 도구 날조
qwen3.5:9b,s23,Build 다시 해봐,build 를 다시 실행해 줘.,1.100,1.367,6.8 GB,,X,O,,"Build→build 미복원(정답: 빌드), 내용 보존"
qwen3.5:9b,s24,린트 에러 고쳐줘,링트를 실행하여 발생한 린트 에러를 수정하라.,1.105,1.533,6.8 GB,,해당없음,X,,'링트를 실행하여' 단계 추가 + '링트' 오표기 도입(입력은 '린트 에러 고쳐줘')
qwen3.5:9b,s25,로그인 session이 완료됐을 때 Redirect라는 기능을 수정해줘 그리고 완료되면 테스트 코드도 작성해줘,"로그인이 성공적으로 완료되었을 때 redirect 기능을 수정하고, 완료된 후에도 테스트 코드를 작성하여 주세요.",1.111,1.752,6.8 GB,,X,X,2/3·자연3,"만료→'성공적으로 완료' 의미 반전 심화, '완료된 후에도' 비문; 리다이렉트·테스트 유지"
qwen3.5:9b,s26,지금 검색기는 느린데 디바운싱 추가하고 디바운싱 추가해서 API 호출 줄여줘,검색기 성능 저하 문제를 해결하기 위해 디바운싱을 구현하여 API 호출 횟수를 줄이도록 요청합니다.,1.112,1.836,6.8 GB,,O,O,3/3·자연4,"디바운싱·API 호출 감소 모두 보존, 정돈 양호"
qwen3.5:9b,s27,결제 모듈에서 에러 핸들링 로직을 리페트링하고 실패했을 때 재시도를 3번 할 수 있도록 기능 추가해줘,"결제 모듈의 에러 핸들링 로직을 refactor 하고, 실패 시 retry 를 최대 3 회 수행할 수 있도록 기능을 추가해 줘.",1.117,2.057,6.8 GB,,O,O,2/2·자연3,"리페트링→refactor 의미 복원(단 영어화·규칙5 경미), retry 영어화"
qwen3.5:9b,s28,다크모드 토글이 새로고침했을 때 풀리는 버그가 있어 다크모드와 같은 컬러모드는 localStorage에 저장하도록 기능을 추가해줘,"다크 모드 토글 시 페이지 리프레시 후 설정이 초기화되는 버그를 수정하기 위해, 다크 모드를 포함한 모든 색상 테마의 상태를 localStorage 에 저장하는 기능을 구현해주세요.",1.191,2.317,6.8 GB,,해당없음,O,2/2·자연4,'모든 색상 테마' 범위 표현 변형(허용 범위로 판단)
qwen3.5:9b,s29,PR 올리기 전에는 콘솔로 지워주고 커밋 메시지를 잘 정리해서 작성해줘,"PR 제출 전에 console 로그를 제거하고, commit message 를 명확하게 작성하여 요청하시오.",1.115,1.651,6.8 GB,,O,O,3/3·자연3,"콘솔로→console 로그 의미 복원(영어화 경미), '요청하시오' 어색"
qwen3.5:9b,s30,모바일 환경에서 깨지는 컴포넌트들 다 찾고 반응형 디자인에 대응할 수 있도록 수정해줘,모바일 환경에서 레이아웃이 깨지는 컴포넌트를 모두 찾아 반응형 디자인을 지원하도록 수정해 주세요.,1.117,1.816,6.8 GB,,해당없음,O,2/2·자연4,
