model,sentence_id,input,output,ttft_s,total_s,memory,rule_violation,교정성공,의도보존,정돈품질,비고
qwen3.5:4b,s25,로그인 session이 완료됐을 때 Redirect라는 기능을 수정해줘 그리고 완료되면 테스트 코드도 작성해줘,로그인 세션이 완료될 때 redirect 라는 기능을 수정해줘 그리고 완료되면 테스트 코드 도 작성해줘,0.960,1.364,4.3 GB,,X,O,2/3·자연4,"만료→'완료' 잔존(미교정), 리다이렉트·테스트 유지, v0 '파이테스트' 날조 해소"
qwen3.5:4b,s26,지금 검색기는 느린데 디바운싱 추가하고 디바운싱 추가해서 API 호출 줄여줘,"검색기가 느려서 디바운싱을 추가하고, 디바운싱으로 인해 API 호출이 줄어들도록 해줘.",0.948,1.418,4.3 GB,,O,O,3/3·자연4,"중복 디바운싱 정리 ✓, 'API 호출이 줄어들도록' — v0 의미 반전 해소"
qwen3.5:4b,s27,결제 모듈에서 에러 핸들링 로직을 리페트링하고 실패했을 때 재시도를 3번 할 수 있도록 기능 추가해줘,"결제 모듈에서 에러 핸들링 로직을 리팩토링하고, 실패했을 때 재시도를 3 번 할 수 있도록 기능을 추가해줘.",0.954,1.573,4.3 GB,,O,O,2/2·자연4,"리페트링→리팩토링 ✓, 재시도 3번 유지"
qwen3.5:4b,s28,다크모드 토글이 새로고침했을 때 풀리는 버그가 있어 다크모드와 같은 컬러모드는 localStorage에 저장하도록 기능을 추가해줘,"다크 모드 토글이 새로고침했을 때 풀리는 버그가 있어, 다크 모드와 같은 컬러 모드를 localStorage 에 저장하도록 기능을 추가해 줘.",0.965,1.625,4.3 GB,,해당없음,O,2/2·자연4,localStorage·버그 언급 모두 유지
qwen3.5:4b,s29,PR 올리기 전에는 콘솔로 지워주고 커밋 메시지를 잘 정리해서 작성해줘,PR 올리기 전에는 콘솔을 지우고 커밋 메시지를 잘 정리하여 작성해줘.,0.987,1.351,4.3 GB,,X,O,2/3·자연4,"콘솔로→'콘솔을'(콘솔 로그 미복원 — 부분 교정), 커밋 메시지 유지"
qwen3.5:4b,s30,모바일 환경에서 깨지는 컴포넌트들 다 찾고 반응형 디자인에 대응할 수 있도록 수정해줘,"모바일 환경에서 깨지는 컴포넌트들을 모두 찾아, 반응형 디자인에 대응하도록 수정해줘.",1.000,1.434,4.3 GB,,해당없음,O,2/2·자연4,
qwen3.5:9b,s01,이 컴포넌트 useState 말고 useReducer으로 리팩토링 해줘,<<<이 컴포넌트 useState 말고 useReducer 으로 리팩토링해줘>>>,1.545,2.054,6.8 GB,delimiter_echo,해당없음,O,,구분자 에코(스트립 후 원문 보존)
qwen3.5:9b,s02,useEffect의 cleanup 함수 리턴하는 거 빠졌으니까 추가해줘,useEffect 의 cleanup 함수 리턴하는 거 빠졌으니까 추가해줘,1.518,1.947,6.8 GB,,해당없음,O,,원문 유지
qwen3.5:9b,s03,async await로 바꾸고 try catch로 에러 핸들링 해줘,async await 로 바꾸고 try catch 로 에러 핸들링 해줘,1.524,1.925,6.8 GB,,해당없음,O,,소문자 유지
qwen3.5:9b,s04,이 함수 TypeScript Generic으로 Type 잡아줘,<<<이 함수 TypeScript Generic 으로 Type 잡아줘>>>,1.516,1.787,6.8 GB,delimiter_echo,X,O,,구분자 에코 + Generic·Type 미교정(v0은 교정했음 — 무변경 통과 과적용)
qwen3.5:9b,s05,React Query로 캐싱하게 바꾸고 staleTime 5분으로 설정해줘,<<<React Query 로 캐싱 하게 바꾸고 staleTime 5 분 으로 설정 해줘>>>,1.520,2.025,6.8 GB,delimiter_echo,해당없음,O,,"구분자 에코, v0 '(300초)' 추가 해소"
qwen3.5:9b,s06,git rebase로 커밋 세개를 하나로 squash해줘,<<<git rebase 로 3 개를 squash 해줘>>>,1.513,1.859,6.8 GB,delimiter_echo,해당없음,X,,구분자 에코 + '커밋 세 개를 하나로'→'3 개를' — 대상·목표 누락
qwen3.5:9b,s07,Dockerfile에서 멀티 스테이지 빌드로 이미지 사이즈 줄여줘,<<<Dockerfile 에서 멀티 스테이지 빌드로 이미지 사이즈 줄여줘>>>,1.515,1.997,6.8 GB,delimiter_echo,해당없음,O,,구분자 에코
qwen3.5:9b,s08,이 API 엔드포인트에 rate limiting mid layer 붙여줘,<<<이 API 엔드포인트에 rate limiting middleware 를 추가해줘>>>,1.549,1.946,6.8 GB,delimiter_echo,O,O,,"구분자 에코 + mid layer→middleware 교정, 붙여줘→추가해줘(경미)"
qwen3.5:9b,s09,Tailwind로 다크모드 대응하는 클래스 추가해줘,<<<Tailwind 로 다크 모드 대응하는 클래스 추가해줘>>>,1.543,1.940,6.8 GB,delimiter_echo,해당없음,O,,구분자 에코
qwen3.5:9b,s10,cmux에서 새 pane 열어서 테스트 워처 돌려줘,<<<cmux 에서 새 pane 열어 test watcher 돌려줘>>>,1.542,1.886,6.8 GB,delimiter_echo,해당없음,O,,구분자 에코 + 테스트 워처→'test watcher' 영어화(규칙5 위반)
qwen3.5:9b,s11,방금 수정한 부분 다시 원래대로 되돌려줘,<<<방금 수정한 부분 다시 원래대로 되돌려줘>>>,1.565,1.935,6.8 GB,delimiter_echo,해당없음,O,,구분자 에코
qwen3.5:9b,s12,이 파일에서 중복되는 로직 찾아서 함수로 뽑아줘,이 파일에서 중복되는 로직 찾아서 함수로 뽑아줘,1.562,1.931,6.8 GB,,해당없음,O,,원문 유지(뽑아줘 보존)
qwen3.5:9b,s13,변수 이름들 좀 더 명확하게 바꿔줘,변수 이름들 좀 더 명확하게 바꿔줘,1.568,1.832,6.8 GB,,해당없음,O,,원문 유지
qwen3.5:9b,s14,주석 달아줘 근데 너무 길게는 말고,"주석을 추가하되, 지나치게 길지 않게 작성해 줘.",1.570,1.994,6.8 GB,,해당없음,O,,바꿔쓰기(경미) + 존댓말화
qwen3.5:9b,s15,이거 왜 안되는지 원인부터 찾아줘,이거 왜 안 되는지 원인부터 찾아줘,1.572,1.836,6.8 GB,,해당없음,O,,완전 원문 통과 ✓(v0 논리 반전 해소)
qwen3.5:9b,s16,성능 문제 있는 부분 프로파일링해서 알려줘,성능 문제 있는 부분 프로파일링해서 알려줘,1.574,1.865,6.8 GB,,해당없음,O,,원문 유지
qwen3.5:9b,s17,npm run dev하고 error log 보여줘,npm run dev 하고 error log 보여줘,1.572,1.783,6.8 GB,,X,O,,"error log 미교정(원문 유지) / 보여줘 보존(v0 누락 해소), 백틱 해소"
qwen3.5:9b,s18,pytest로 유닛 테스트 돌리고 실패한 것만 정리해줘,pytest 로 유닛 테스트 돌리고 실패한 것만 정리해줘,1.576,2.000,6.8 GB,,해당없음,O,,원문 유지
qwen3.5:9b,s19,"main branch에 rebase하고, force push 해줘","main branch 에 rebase 하고, force push 해줘",1.575,1.866,6.8 GB,,해당없음,O,,원문 유지
qwen3.5:9b,s20,environment variable에서 API key 읽어오기 바꿔줘,<<<environment variable 에서 API key 읽어오기 바꿔줘>>>,1.573,1.891,6.8 GB,delimiter_echo,X,O,,구분자 에코 + 읽어오기 비문 미교정(원문 통과) — v0 한국어화는 해소
qwen3.5:9b,s21,커밋해줘,커밋해줘,1.580,1.713,6.8 GB,,해당없음,O,,"무변경 통과 ✓(v0 '커밋 메시지 작성' 왜곡 해소, few-shot 효과)"
qwen3.5:9b,s22,테스트 돌려,pytest 로 유닛 테스트 좀 돌려줘,1.577,1.789,6.8 GB,,해당없음,X,,few-shot 예시 출력('pytest로 유닛 테스트 좀 돌려줘')을 그대로 복사 — 예시 누출·날조
qwen3.5:9b,s23,Build 다시 해봐,빌드 다시 해봐,1.578,1.711,6.8 GB,,O,O,,Build→빌드 교정 ✓
qwen3.5:9b,s24,린트 에러 고쳐줘,링트에러고쳐줘,1.604,1.768,6.8 GB,,해당없음,X,,'린트 에러 고쳐줘'→'링트에러고쳐줘' — 사전 쌍(링트→린트) 역적용 + 공백 파괴
qwen3.5:9b,s25,로그인 session이 완료됐을 때 Redirect라는 기능을 수정해줘 그리고 완료되면 테스트 코드도 작성해줘,로그인 session 이 완료됐을 때 redirect 라는 기능을 수정해줘 그리고 완료되면 테스트 코드도 작성해줘,1.664,2.278,6.8 GB,,X,O,2/3·자연3,"만료→완료 잔존(미교정), 원문 수준 통과 — v0 '성공적으로' 왜곡 해소"
qwen3.5:9b,s26,지금 검색기는 느린데 디바운싱 추가하고 디바운싱 추가해서 API 호출 줄여줘,검색기는 느리니까 디바운싱을 추가해 API 호출 횟수를 줄여줘,1.677,2.207,6.8 GB,,O,O,3/3·자연4,"중복 디바운싱 정리 ✓, API 호출 줄이기 보존"
qwen3.5:9b,s27,결제 모듈에서 에러 핸들링 로직을 리페트링하고 실패했을 때 재시도를 3번 할 수 있도록 기능 추가해줘,<<<결제 모듈에서 에러 핸들링 로직을 린팅하고 실패했을 때 제시도 를 3 번 할 수 있도록 기능 추가해줘>>>,1.656,2.581,6.8 GB,delimiter_echo,X,X,1/2·자연2,구분자 에코 + 리페트링→'린팅' 오교정 + 재시도→'제시도' 사전 역적용
qwen3.5:9b,s28,다크모드 토글이 새로고침했을 때 풀리는 버그가 있어 다크모드와 같은 컬러모드는 localStorage에 저장하도록 기능을 추가해줘,다크모드 토글이 새로고침했을 때 풀리는 버그가 있어 다크모드와 같은 컬러모드를 environment variable 에 저장하도록 기능을 추가해줘,1.651,2.645,6.8 GB,,해당없음,X,1/2·자연3,localStorage→'environment variable' 날조 스왑 — 저장 위치 요구 변조(심각)
qwen3.5:9b,s29,PR 올리기 전에는 콘솔로 지워주고 커밋 메시지를 잘 정리해서 작성해줘,<<<PR 올리기 전에는 console.log 로 지워주고 코믹 메시지가 아닌 커밋 메시지를 잘 정리해서 작성해줘>>>,1.654,2.396,6.8 GB,delimiter_echo,X,X,2/3·자연2,구분자 에코 + '코믹 메시지가 아닌' 사전 쌍 문구 혼입 + 콘솔로→'console.log 로 지워주고' 비문·영어화
qwen3.5:9b,s30,모바일 환경에서 깨지는 컴포넌트들 다 찾고 반응형 디자인에 대응할 수 있도록 수정해줘,모바일 환경에서 깨지는 컴포넌트들 다 찾아서 반응형 디자인에 대응하도록 수정해줘,1.658,2.298,6.8 GB,,해당없음,O,2/2·자연4,
