model,sentence_id,input,output,ttft_s,total_s,memory,rule_violation,교정성공,의도보존,정돈품질,비고
qwen3.5:4b,s29,PR 올리기 전에는 콘솔로 지워주고 커밋 메시지를 잘 정리해서 작성해줘,PR 올리기 전에는 콘솔로 지워주고 커밋 메시지를 잘 정리해서 작성해줘,0.946,1.309,4.3 GB,,X,O,2/3·자연3,"'콘솔로' 원문 유지(교정 포기 — 보수 원칙 준수, 비문 잔존)"
qwen3.5:4b,s30,모바일 환경에서 깨지는 컴포넌트들 다 찾고 반응형 디자인에 대응할 수 있도록 수정해줘,"모바일 환경에서 깨지는 컴포넌트들을 모두 찾아, 반응형 디자인에 대응하도록 수정해줘.",0.952,1.383,4.3 GB,,해당없음,O,2/2·자연4,
qwen3.5:9b,s01,이 컴포넌트 useState 말고 useReducer으로 리팩토링 해줘,이 컴포넌트 useState 말고 useReducer 으로 리팩토링 해줘,1.600,2.054,6.8 GB,,해당없음,O,,완전 보존 ✓ (구분자 에코 해소)
qwen3.5:9b,s02,useEffect의 cleanup 함수 리턴하는 거 빠졌으니까 추가해줘,useEffect 의 cleanup 함수 리턴하는 거 빠졌으니까 추가해줘,1.514,1.938,6.8 GB,,해당없음,O,,
qwen3.5:9b,s03,async await로 바꾸고 try catch로 에러 핸들링 해줘,async await 로 바꾸고 try-catch 로 에러 핸들링 해줘,1.516,1.940,6.8 GB,,해당없음,O,,try catch→try-catch 하이픈 변형(경미)
qwen3.5:9b,s04,이 함수 TypeScript Generic으로 Type 잡아줘,이 함수 TypeScript Generic 으로 Type 잡아줘,1.515,1.726,6.8 GB,,X,O,,"Generic·Type 미교정(원문 통과), '이 함수' 유지 ✓"
qwen3.5:9b,s05,React Query로 캐싱하게 바꾸고 staleTime 5분으로 설정해줘,React Query 로 캐싱 하게 바꾸고 staleTime 5 분 으로 설정 해 줘,1.581,2.059,6.8 GB,,해당없음,O,,
qwen3.5:9b,s06,git rebase로 커밋 세개를 하나로 squash해줘,git rebase 로 커밋 세 개를 하나로 squash 해줘,1.523,1.895,6.8 GB,,해당없음,O,,'커밋 세 개를 하나로' 복원 ✓ (v1 누락 해소)
qwen3.5:9b,s07,Dockerfile에서 멀티 스테이지 빌드로 이미지 사이즈 줄여줘,Dockerfile 에서 멀티 스테이지 빌드로 이미지 사이즈 줄여줘,1.519,1.944,6.8 GB,,해당없음,O,,
qwen3.5:9b,s08,이 API 엔드포인트에 rate limiting mid layer 붙여줘,<<<이 API 엔드포인트에 rate limiting middleware 를 추가해줘>>>,1.517,1.915,6.8 GB,delimiter_echo,O,O,,구분자 에코 잔존(유일 1건) + mid layer→middleware 교정 ✓
qwen3.5:9b,s09,Tailwind로 다크모드 대응하는 클래스 추가해줘,Tailwind 로 다크 모드 대응하는 클래스 추가해줘,1.518,1.863,6.8 GB,,해당없음,O,,
qwen3.5:9b,s10,cmux에서 새 pane 열어서 테스트 워처 돌려줘,cmux 에서 새 pane 열어서 테스트 와치터 돌려줘,1.518,1.891,6.8 GB,,해당없음,O,,용어 훼손: 워처→'와치터' / pane 소문자 유지 ✓
qwen3.5:9b,s11,방금 수정한 부분 다시 원래대로 되돌려줘,방금 수정한 부분 다시 원래대로 되돌려줘,1.531,1.851,6.8 GB,,해당없음,O,,
qwen3.5:9b,s12,이 파일에서 중복되는 로직 찾아서 함수로 뽑아줘,이 파일에서 중복되는 로직 찾아서 함수로 뽑아줘,1.544,1.917,6.8 GB,,해당없음,O,,뽑아줘 보존 ✓
qwen3.5:9b,s13,변수 이름들 좀 더 명확하게 바꿔줘,변수 이름들 좀 더 명확하게 바꿔줘,1.559,1.828,6.8 GB,,해당없음,O,,
qwen3.5:9b,s14,주석 달아줘 근데 너무 길게는 말고,주석 달아줘 근데 너무 길게는 말고,1.573,1.895,6.8 GB,,해당없음,O,,완전 원문 통과 ✓
qwen3.5:9b,s15,이거 왜 안되는지 원인부터 찾아줘,이거 왜 안 되는지 원인부터 찾아줘,1.571,1.836,6.8 GB,,해당없음,O,,
qwen3.5:9b,s16,성능 문제 있는 부분 프로파일링해서 알려줘,성능 문제가 있는 부분을 프로파일링해서 알려줘,1.580,1.875,6.8 GB,,해당없음,O,,조사 추가(경미)
qwen3.5:9b,s17,npm run dev하고 error log 보여줘,npm run dev 하고 error log 보여줘,1.586,1.809,6.8 GB,,X,O,,error log 미교정 / '보여줘' 유지 ✓
qwen3.5:9b,s18,pytest로 유닛 테스트 돌리고 실패한 것만 정리해줘,pytest 로 유닛 테스트 돌리고 실패한 것만 정리해줘,1.588,2.016,6.8 GB,,해당없음,O,,
qwen3.5:9b,s19,"main branch에 rebase하고, force push 해줘","main branch 에 rebase 하고, force push 해줘",1.578,1.876,6.8 GB,,해당없음,O,,원문 유지 ✓
qwen3.5:9b,s20,environment variable에서 API key 읽어오기 바꿔줘,environment variable 에서 API key 읽어오기 바꿔줘,1.576,1.843,6.8 GB,,X,O,,"읽어오기 비문 미교정(원문 통과), v1과 달리 한국어화 없음 ✓"
qwen3.5:9b,s21,커밋해줘,commit 해줘,1.599,1.679,6.8 GB,,해당없음,O,,커밋→'commit 해줘' 부분 영어화(규칙5 경미 — v1 완전 통과에서 후퇴)
qwen3.5:9b,s22,테스트 돌려,테스트 돌리세요,1.578,1.711,6.8 GB,,해당없음,O,,"존댓말화(경미), v1 예시 누출 해소 ✓"
qwen3.5:9b,s23,Build 다시 해봐,Build 다시 해봐,1.579,1.686,6.8 GB,,X,O,,Build 미교정(v1 '빌드' 교정에서 후퇴 — 프롬프트 사전 제거 영향 추정)
qwen3.5:9b,s24,린트 에러 고쳐줘,린트 에러 고쳐줘,1.593,1.778,6.8 GB,,해당없음,O,,완전 복원 ✓ (v1 '링트에러고쳐줘' 훼손 해소 — 사전 역적용 소멸)
qwen3.5:9b,s25,로그인 session이 완료됐을 때 Redirect라는 기능을 수정해줘 그리고 완료되면 테스트 코드도 작성해줘,로그인 session 이 완료됐을 때 redirect 라는 기능을 수정해줘 그리고 완료되면 테스트 코드도 작성해줘,1.654,2.270,6.8 GB,,X,O,2/3·자연3,"만료→완료 잔존, 원문 수준 통과"
qwen3.5:9b,s26,지금 검색기는 느린데 디바운싱 추가하고 디바운싱 추가해서 API 호출 줄여줘,"검색기는 느린데 디바운싱 추가하고, 디바운싱 추가해서 API 호출 줄여줘",1.652,2.264,6.8 GB,,X,O,3/3·자연2,"중복 '디바운싱 추가' 미정리(v0·v1 정리에서 후퇴 — 통과 과적용), 항목은 전부 보존"
qwen3.5:9b,s27,결제 모듈에서 에러 핸들링 로직을 리페트링하고 실패했을 때 재시도를 3번 할 수 있도록 기능 추가해줘,결제 모듈에서 에러 핸들링 로직을 리팩토링하고 실패했을 때 재시도를 3 번 할 수 있도록 기능 추가해줘,1.652,2.558,6.8 GB,,O,O,2/2·자연4,재시도 3번 정상 ✓ (v1 '제시도' 역적용 해소)
qwen3.5:9b,s28,다크모드 토글이 새로고침했을 때 풀리는 버그가 있어 다크모드와 같은 컬러모드는 localStorage에 저장하도록 기능을 추가해줘,다크모드 토글이 새로고침했을 때 풀리는 버그가 있어 다크모드와 같은 컬러모드가 localStorage 에 저장되도록 기능을 추가해줘,1.655,2.643,6.8 GB,,해당없음,O,2/2·자연4,localStorage 정상 ✓ (v1 날조 스왑 해소)
qwen3.5:9b,s29,PR 올리기 전에는 콘솔로 지워주고 커밋 메시지를 잘 정리해서 작성해줘,PR 올리기 전에는 콘솔로 지워주고 커밋 메시지를 잘 정리해서 작성해줘,1.650,2.208,6.8 GB,,X,O,2/3·자연3,"'콘솔로' 원문 유지, v1 사전 문구 혼입 해소 ✓"
qwen3.5:9b,s30,모바일 환경에서 깨지는 컴포넌트들 다 찾고 반응형 디자인에 대응할 수 있도록 수정해줘,모바일 환경에서 깨지는 컴포넌트들 다 찾아서 반응형 디자인에 대응하도록 수정해줘,1.651,2.299,6.8 GB,,해당없음,O,2/2·자연4,
